table_family,table_name,column_name,data_type,nullable,roles
Aggregate volume counts,vehicle-count,count,integer,NO,Metric/measure
Aggregate volume counts,vehicle-count,date,varchar,NO,Time
Aggregate volume counts,vehicle-count,time_interval,varchar,NO,Time
Aggregate volume counts,vehicle-count,approach,varchar,NO,Spatial/entity
Aggregate volume counts,vehicle-count,class,varchar,NO,Categorical/code
Aggregate volume counts,vehicle-count,city,varchar,NO,Spatial/entity
Aggregate volume counts,vehicle-count,intersection,varchar,NO,Spatial/entity
Aggregate volume counts,vehicle-count,table,varchar,NO,Metadata/payload
Aggregate volume counts,vehicle-count,publish_timestamp,bigint,NO,Time
Aggregate volume counts,vehicle-count,movement,varchar,YES,Categorical/code
Aggregate volume counts,vehicle-count,data_provider,varchar,YES,Metadata/payload
Aggregate volume counts,vehicle-count,original_content,varchar,YES,Metadata/payload
Aggregate volume counts,vehicle-count,interval_start_timestamp,bigint,YES,Time
Aggregate volume counts,vehicle-count,interval_end_timestamp,bigint,YES,Time
Aggregate volume counts,vru-count,count,integer,NO,Metric/measure
Aggregate volume counts,vru-count,date,varchar,NO,Time
Aggregate volume counts,vru-count,time_interval,varchar,NO,Time
Aggregate volume counts,vru-count,approach,varchar,NO,Spatial/entity
Aggregate volume counts,vru-count,class,varchar,NO,Categorical/code
Aggregate volume counts,vru-count,city,varchar,NO,Spatial/entity
Aggregate volume counts,vru-count,intersection,varchar,NO,Spatial/entity
Aggregate volume counts,vru-count,table,varchar,NO,Metadata/payload
Aggregate volume counts,vru-count,publish_timestamp,bigint,NO,Time
Aggregate volume counts,vru-count,data_provider,varchar,YES,Metadata/payload
Aggregate volume counts,vru-count,original_content,varchar,YES,Metadata/payload
Aggregate volume counts,vru-count,interval_start_timestamp,bigint,YES,Time
Aggregate volume counts,vru-count,interval_end_timestamp,bigint,YES,Time
Derived safety analytics,safety-conflicts,city,varchar,NO,Spatial/entity
Derived safety analytics,safety-conflicts,data_provider,varchar,NO,Metadata/payload
Derived safety analytics,safety-conflicts,table,varchar,NO,Metadata/payload
Derived safety analytics,safety-conflicts,intersection_id,varchar,NO,Spatial/entity
Derived safety analytics,safety-conflicts,intersection,varchar,YES,Spatial/entity
Derived safety analytics,safety-conflicts,intersection_name,varchar,NO,Spatial/entity
Derived safety analytics,safety-conflicts,intersection_lat,double,YES,Spatial/entity
Derived safety analytics,safety-conflicts,intersection_long,double,YES,Spatial/entity
Derived safety analytics,safety-conflicts,publish_timestamp,bigint,NO,Time
Derived safety analytics,safety-conflicts,id,varchar,NO,Other
Derived safety analytics,safety-conflicts,indicator_type,varchar,NO,Categorical/code
Derived safety analytics,safety-conflicts,indicator_value,double,NO,Metric/measure
Derived safety analytics,safety-conflicts,date_time_local,bigint,NO,Time
Derived safety analytics,safety-conflicts,configuration,varchar,NO,Categorical/code
Derived safety analytics,safety-conflicts,severity_level,varchar,NO,Metric/measure
Derived safety analytics,safety-conflicts,conflict_speed,double,NO,Metric/measure
Derived safety analytics,safety-conflicts,leading_road_user_type,varchar,NO,Categorical/code
Derived safety analytics,safety-conflicts,leading_road_user_speed,double,NO,Metric/measure
Derived safety analytics,safety-conflicts,lagging_road_user_type,varchar,NO,Categorical/code
Derived safety analytics,safety-conflicts,lagging_road_user_speed,double,NO,Metric/measure
Derived safety analytics,safety-conflicts,original_content,varchar,NO,Metadata/payload
Derived safety analytics,safety-event,event_type,varchar,NO,Categorical/code
Derived safety analytics,safety-event,event_id,varchar,NO,Categorical/code
Derived safety analytics,safety-event,time_at_site,bigint,NO,Time
Derived safety analytics,safety-event,detection_area,varchar,NO,Spatial/entity
Derived safety analytics,safety-event,camera_id,varchar,NO,Spatial/entity
Derived safety analytics,safety-event,direction,varchar,YES,Categorical/code
Derived safety analytics,safety-event,movement,varchar,YES,Categorical/code
Derived safety analytics,safety-event,object1_class,varchar,YES,Categorical/code
Derived safety analytics,safety-event,object2_class,varchar,YES,Categorical/code
Derived safety analytics,safety-event,city,varchar,NO,Spatial/entity
Derived safety analytics,safety-event,intersection,varchar,NO,Spatial/entity
Derived safety analytics,safety-event,table,varchar,NO,Metadata/payload
Derived safety analytics,safety-event,publish_timestamp,bigint,NO,Time
Derived safety analytics,safety-event,data_provider,varchar,YES,Metadata/payload
Derived safety analytics,safety-event,original_content,varchar,YES,Metadata/payload
Derived safety analytics,safety-pedcompliance,city,varchar,NO,Spatial/entity
Derived safety analytics,safety-pedcompliance,data_provider,varchar,NO,Metadata/payload
Derived safety analytics,safety-pedcompliance,table,varchar,NO,Metadata/payload
Derived safety analytics,safety-pedcompliance,intersection_id,varchar,NO,Spatial/entity
Derived safety analytics,safety-pedcompliance,intersection,varchar,YES,Spatial/entity
Derived safety analytics,safety-pedcompliance,intersection_name,varchar,NO,Spatial/entity
Derived safety analytics,safety-pedcompliance,intersection_lat,double,YES,Spatial/entity
Derived safety analytics,safety-pedcompliance,intersection_long,double,YES,Spatial/entity
Derived safety analytics,safety-pedcompliance,publish_timestamp,bigint,NO,Time
Derived safety analytics,safety-pedcompliance,bin_start_date_time,bigint,NO,Time
Derived safety analytics,safety-pedcompliance,bin_end_date_time,bigint,NO,Time
Derived safety analytics,safety-pedcompliance,direction,varchar,NO,Categorical/code
Derived safety analytics,safety-pedcompliance,crosswalk_approach,varchar,NO,Spatial/entity
Derived safety analytics,safety-pedcompliance,classification,varchar,NO,Categorical/code
Derived safety analytics,safety-pedcompliance,yellow_light_runners,integer,YES,Metric/measure
Derived safety analytics,safety-pedcompliance,red_light_runners,integer,YES,Metric/measure
Derived safety analytics,safety-pedcompliance,original_content,varchar,NO,Metadata/payload
Derived safety analytics,safety-redlightrunners,city,varchar,NO,Spatial/entity
Derived safety analytics,safety-redlightrunners,data_provider,varchar,NO,Metadata/payload
Derived safety analytics,safety-redlightrunners,table,varchar,NO,Metadata/payload
Derived safety analytics,safety-redlightrunners,intersection_id,varchar,NO,Spatial/entity
Derived safety analytics,safety-redlightrunners,intersection,varchar,YES,Spatial/entity
Derived safety analytics,safety-redlightrunners,intersection_name,varchar,NO,Spatial/entity
Derived safety analytics,safety-redlightrunners,intersection_lat,double,YES,Spatial/entity
Derived safety analytics,safety-redlightrunners,intersection_long,double,YES,Spatial/entity
Derived safety analytics,safety-redlightrunners,publish_timestamp,bigint,NO,Time
Derived safety analytics,safety-redlightrunners,bin_start_date_time,bigint,NO,Time
Derived safety analytics,safety-redlightrunners,bin_end_date_time,bigint,NO,Time
Derived safety analytics,safety-redlightrunners,direction,varchar,NO,Categorical/code
