event_type,event_id,time_at_site,detection_area,camera_id,direction,movement,object1_class,object2_class,city,intersection,table,publish_timestamp,data_provider,original_content
LCV,69a4a04efab43400110acf90,1772396622190000,South Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773730933709000,derq,
STPV,69a491fb0726520012705b25,1772392948596000,North Leg,0,North,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773730933709000,derq,
LCV,69a4ade56c60ca0013bc8b01,1772400101059000,South Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773730933709000,derq,
IC,69a44841a1464900125ec6c2,1772374080829000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773730933710000,derq,
IC,69a487b8fab43400110aa772,1772390327928000,West Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773730933710000,derq,
IC,69a4b44da1464900125f7193,1772401740829000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773730933710000,derq,
IC,69a4bee66c60ca0013bca6b1,1772404454521000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773730933710000,derq,
LCV,69a4c9f27e03be00132f801e,1772407282386000,South Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773730933710000,derq,
LCV,69a4c1e76c60ca0013bcab98,1772405222949000,South Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773730933710000,derq,
IC,69a4483e7e03be00132eb183,1772374078526000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773730933710000,derq,
IC,69a44840fab43400110a44d6,1772374078726000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773730933710000,derq,
IC,69a4797a6c60ca0013bc35c6,1772386682282000,North Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773730933710000,derq,
IC,69a4d311fab43400110b2185,1772409617432000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773730933710000,derq,
IC,69a5003f0726520012710a24,1772421179989000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773730933710000,derq,
NM-VRU,69a4aa9ffab43400110ae062,1772399260802000,South Leg,0,,,Bicycle,Passenger Vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773730933711000,derq,
IC,69a5036e6c60ca0013bd102c,1772421998248000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773730933711000,derq,
LCV,69a5f579eb555e001293ac03,1772483918614000,North Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412380000,derq,
LCV,69a5d8776c60ca0013be4ee2,1772476535576000,South Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412380000,derq,
LCV,69a5d5cf4f9ded0012b98a0d,1772475855175000,North Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412380000,derq,
LCV,69a5d4ba7e03be0013310f1c,1772475578279000,South Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412380000,derq,
LCV,69a5a291d006450012137df7,1772462737186000,North Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412380000,derq,
LCV,69a56bd9d006450012132b5b,1772448729043000,North Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412380000,derq,
LCV,69a50fa1d00645001212a90f,1772425121019000,South Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412380000,derq,
STPV,69a5602b0726520012719154,1772445732486000,North Leg,0,North,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412380000,derq,
IC,69a51bdd6c60ca0013bd3353,1772428253269000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412380000,derq,
IC,69a57c21d006450012134320,1772452897374000,North Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412380000,derq,
IC,69a5e96d4f9ded0012b9aa79,1772480876668000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412380000,derq,
LCV,69a5d9fd4f9ded0012b99102,1772476925439000,South Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412380000,derq,
LCV,69a5ebcbade17e0012de3847,1772481483247000,South Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412380000,derq,
NM-VRU,69a60554072652001272973f,1772488015927000,Intersection Center,0,,,Pedestrian,Passenger Vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412381000,derq,
NM-VRU,69a5cc996c60ca0013be3b68,1772473494679000,South Leg,0,,,Bicycle,Passenger Vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412381000,derq,
NM-VRU,69a59197072652001271da13,1772458387833000,Intersection Center,0,,,Passenger Vehicle,Pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412381000,derq,
IC,69a607a24f9ded0012b9dd7d,1772488610070000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412381000,derq,
IC,69a5fa7dadb00c00110c99a9,1772485245033000,North Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412381000,derq,
IC,69a5f6d14f9ded0012b9c0bf,1772484296301000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412381000,derq,
IC,69a5f4e2eb555e001293ab0d,1772483362563000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412381000,derq,
NM-VV,69a5f5780726520012727ba6,1772483908696000,Intersection Center,0,,,Passenger Vehicle,Passenger Vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412381000,derq,
NM-VV,69a589cf7e03be00133096d7,1772456393062000,West Leg,0,,,Passenger Vehicle,Passenger Vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773734412381000,derq,
STPV,69a651002b890f00119a602a,1772507385691000,North Leg,0,North,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773738011808000,derq,
STPV,69a65021ee080c001272e50d,1772507162407000,North Leg,0,North,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773738011808000,derq,
STPV,69a64370c1fc6d0012a72573,1772503912882000,North Leg,0,North,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773738011808000,derq,
LCV,69a6cbf6ee080c00127396a6,1772538870140000,South Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773738011809000,derq,
IC,69a65b0ec1fc6d0012a748df,1772509966379000,West Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773738011809000,derq,
IC,69a66471c1fc6d0012a75695,1772512369294000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773738011809000,derq,
IC,69a664b8c8126d0012efd5f9,1772512439919000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773738011809000,derq,
IC,69a6da1eee080c001273ac2e,1772542493811000,West Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773738011809000,derq,
IC,69a6e1e7c8126d0012f08a92,1772544487320000,West Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773738011809000,derq,
IC,69a65820c8126d0012efc371,1772509216552000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773738011809000,derq,
IC,69a6550ec8126d0012efbee5,1772508430544000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773738011809000,derq,
IC,69a6149fc1fc6d0012a6da0d,1772491934944000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773738011809000,derq,
LCV,69a86175c8126d0012f2e665,1772642677290000,South Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773745212931000,derq,
STPV,69a8fcb8051f7a0012659aee,1772682417492000,North Leg,0,North,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773745212931000,derq,
WWD,69a8976e82d83000122d2dae,1772656494789000,West Leg,0,West,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773745212931000,derq,
LCV,69a8d0b72cd11e00126d97ce,1772671159652000,South Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773745212931000,derq,
LCV,69a894b2051f7a001264ef81,1772655794069000,South Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773745212931000,derq,
LCV,69a87ea9b96fb70013b53339,1772650153082000,South Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773745212931000,derq,
LCV,69a87418255b710012f6ce21,1772647447896000,South Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773745212931000,derq,
IC,69a8199982d83000122c618b,1772624281510000,South Leg,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773745212931000,derq,
STPV,69a87fdf255b710012f6e180,1772650456338000,North Leg,0,North,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773745212931000,derq,
STPV,69a8c3b4255b710012f75604,1772667821032000,North Leg,0,North,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773745212931000,derq,
WWD,69a8a513051f7a0012650b9e,1772659987333000,West Leg,0,West,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773745212931000,derq,
IC,69a80ad1a3424900123c1b32,1772620497024000,Intersection Center,0,,,,,alexandria,glebe-potomac-dqchytr8g,alexandria.safety-event,1773745212931000,derq,
