speed_interval,approach,count,city,intersection,table,publish_timestamp,start_timestamp,end_timestamp,data_provider,original_content
00-09 mph,EB,5,alexandria,park-west-dqcj5xvpn,alexandria.speed-distribution,1780710326553000,1772344800845000,1772352000845000,derq,"{""speedinterval"":""00-09 mph"",""approach"":""EB"",""count"":5}"
00-09 mph,SB,3,alexandria,park-west-dqcj5xvpn,alexandria.speed-distribution,1780710326553000,1772344800845000,1772352000845000,derq,"{""speedinterval"":""00-09 mph"",""approach"":""SB"",""count"":3}"
00-09 mph,WB,1,alexandria,park-west-dqcj5xvpn,alexandria.speed-distribution,1780710326553000,1772344800845000,1772352000845000,derq,"{""speedinterval"":""00-09 mph"",""approach"":""WB"",""count"":1}"
00-09 mph,NB,2,alexandria,park-west-dqcj5xvpn,alexandria.speed-distribution,1780710326553000,1772344800845000,1772352000845000,derq,"{""speedinterval"":""00-09 mph"",""approach"":""NB"",""count"":2}"
10-14 mph,WB,5,alexandria,park-west-dqcj5xvpn,alexandria.speed-distribution,1780710326553000,1772344800845000,1772352000845000,derq,"{""speedinterval"":""10-14 mph"",""approach"":""WB"",""count"":5}"
20-24 mph,EB,2,alexandria,park-west-dqcj5xvpn,alexandria.speed-distribution,1780710326553000,1772344800845000,1772352000845000,derq,"{""speedinterval"":""20-24 mph"",""approach"":""EB"",""count"":2}"
10-14 mph,SB,7,alexandria,park-west-dqcj5xvpn,alexandria.speed-distribution,1780710326553000,1772344800845000,1772352000845000,derq,"{""speedinterval"":""10-14 mph"",""approach"":""SB"",""count"":7}"
10-14 mph,EB,5,alexandria,park-west-dqcj5xvpn,alexandria.speed-distribution,1780710326553000,1772344800845000,1772352000845000,derq,"{""speedinterval"":""10-14 mph"",""approach"":""EB"",""count"":5}"
20-24 mph,WB,4,alexandria,park-west-dqcj5xvpn,alexandria.speed-distribution,1780710326553000,1772344800845000,1772352000845000,derq,"{""speedinterval"":""20-24 mph"",""approach"":""WB"",""count"":4}"
15-19 mph,NB,1,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780753858576000,1772697600845000,1772704800845000,derq,"{""speedinterval"":""15-19 mph"",""approach"":""NB"",""count"":1}"
20-24 mph,SB,1,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780753858577000,1772697600845000,1772704800845000,derq,"{""speedinterval"":""20-24 mph"",""approach"":""SB"",""count"":1}"
25-39 mph,SB,1,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780753858577000,1772697600845000,1772704800845000,derq,"{""speedinterval"":""25-39 mph"",""approach"":""SB"",""count"":1}"
10-14 mph,NB,1,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780753858576000,1772697600845000,1772704800845000,derq,"{""speedinterval"":""10-14 mph"",""approach"":""NB"",""count"":1}"
20-24 mph,NB,5,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780753858577000,1772697600845000,1772704800845000,derq,"{""speedinterval"":""20-24 mph"",""approach"":""NB"",""count"":5}"
40+ mph,NB,5,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780753858577000,1772697600845000,1772704800845000,derq,"{""speedinterval"":""40+ mph"",""approach"":""NB"",""count"":5}"
25-39 mph,NB,33,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780753858577000,1772697600845000,1772704800845000,derq,"{""speedinterval"":""25-39 mph"",""approach"":""NB"",""count"":33}"
40+ mph,SB,1,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780753858577000,1772697600845000,1772704800845000,derq,"{""speedinterval"":""40+ mph"",""approach"":""SB"",""count"":1}"
00-09 mph,EB,38,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780780858093000,1772913600845000,1772920800845000,derq,"{""speedinterval"":""00-09 mph"",""approach"":""EB"",""count"":38}"
00-09 mph,SB,64,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780780858093000,1772913600845000,1772920800845000,derq,"{""speedinterval"":""00-09 mph"",""approach"":""SB"",""count"":64}"
10-14 mph,SB,153,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780780858094000,1772913600845000,1772920800845000,derq,"{""speedinterval"":""10-14 mph"",""approach"":""SB"",""count"":153}"
10-14 mph,NB,109,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780780858094000,1772913600845000,1772920800845000,derq,"{""speedinterval"":""10-14 mph"",""approach"":""NB"",""count"":109}"
00-09 mph,NB,149,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780780858093000,1772913600845000,1772920800845000,derq,"{""speedinterval"":""00-09 mph"",""approach"":""NB"",""count"":149}"
10-14 mph,EB,56,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780780858093000,1772913600845000,1772920800845000,derq,"{""speedinterval"":""10-14 mph"",""approach"":""EB"",""count"":56}"
20-24 mph,NB,76,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780780858094000,1772913600845000,1772920800845000,derq,"{""speedinterval"":""20-24 mph"",""approach"":""NB"",""count"":76}"
15-19 mph,NB,97,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780780858094000,1772913600845000,1772920800845000,derq,"{""speedinterval"":""15-19 mph"",""approach"":""NB"",""count"":97}"
25-39 mph,NB,167,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780780858094000,1772913600845000,1772920800845000,derq,"{""speedinterval"":""25-39 mph"",""approach"":""NB"",""count"":167}"
40+ mph,SB,9,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780780858094000,1772913600845000,1772920800845000,derq,"{""speedinterval"":""40+ mph"",""approach"":""SB"",""count"":9}"
25-39 mph,SB,163,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780780858094000,1772913600845000,1772920800845000,derq,"{""speedinterval"":""25-39 mph"",""approach"":""SB"",""count"":163}"
20-24 mph,SB,53,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780780858094000,1772913600845000,1772920800845000,derq,"{""speedinterval"":""20-24 mph"",""approach"":""SB"",""count"":53}"
15-19 mph,EB,10,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780780858094000,1772913600845000,1772920800845000,derq,"{""speedinterval"":""15-19 mph"",""approach"":""EB"",""count"":10}"
15-19 mph,SB,114,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780780858094000,1772913600845000,1772920800845000,derq,"{""speedinterval"":""15-19 mph"",""approach"":""SB"",""count"":114}"
40+ mph,NB,5,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780780858094000,1772913600845000,1772920800845000,derq,"{""speedinterval"":""40+ mph"",""approach"":""NB"",""count"":5}"
00-09 mph,EB,28,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780766458124000,1772798400845000,1772805600845000,derq,"{""speedinterval"":""00-09 mph"",""approach"":""EB"",""count"":28}"
00-09 mph,NB,169,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780766458124000,1772798400845000,1772805600845000,derq,"{""speedinterval"":""00-09 mph"",""approach"":""NB"",""count"":169}"
15-19 mph,SB,43,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780766458125000,1772798400845000,1772805600845000,derq,"{""speedinterval"":""15-19 mph"",""approach"":""SB"",""count"":43}"
20-24 mph,SB,26,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780766458125000,1772798400845000,1772805600845000,derq,"{""speedinterval"":""20-24 mph"",""approach"":""SB"",""count"":26}"
20-24 mph,NB,113,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780766458125000,1772798400845000,1772805600845000,derq,"{""speedinterval"":""20-24 mph"",""approach"":""NB"",""count"":113}"
10-14 mph,EB,38,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780766458124000,1772798400845000,1772805600845000,derq,"{""speedinterval"":""10-14 mph"",""approach"":""EB"",""count"":38}"
00-09 mph,SB,61,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780766458124000,1772798400845000,1772805600845000,derq,"{""speedinterval"":""00-09 mph"",""approach"":""SB"",""count"":61}"
40+ mph,NB,8,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780766458125000,1772798400845000,1772805600845000,derq,"{""speedinterval"":""40+ mph"",""approach"":""NB"",""count"":8}"
25-39 mph,SB,71,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780766458125000,1772798400845000,1772805600845000,derq,"{""speedinterval"":""25-39 mph"",""approach"":""SB"",""count"":71}"
10-14 mph,SB,77,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780766458124000,1772798400845000,1772805600845000,derq,"{""speedinterval"":""10-14 mph"",""approach"":""SB"",""count"":77}"
40+ mph,SB,2,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780766458125000,1772798400845000,1772805600845000,derq,"{""speedinterval"":""40+ mph"",""approach"":""SB"",""count"":2}"
15-19 mph,EB,3,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780766458124000,1772798400845000,1772805600845000,derq,"{""speedinterval"":""15-19 mph"",""approach"":""EB"",""count"":3}"
15-19 mph,NB,133,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780766458125000,1772798400845000,1772805600845000,derq,"{""speedinterval"":""15-19 mph"",""approach"":""NB"",""count"":133}"
25-39 mph,NB,240,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780766458125000,1772798400845000,1772805600845000,derq,"{""speedinterval"":""25-39 mph"",""approach"":""NB"",""count"":240}"
10-14 mph,NB,158,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780766458124000,1772798400845000,1772805600845000,derq,"{""speedinterval"":""10-14 mph"",""approach"":""NB"",""count"":158}"
00-09 mph,EB,7,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780784460440000,1772942400845000,1772949600845000,derq,"{""speedinterval"":""00-09 mph"",""approach"":""EB"",""count"":7}"
00-09 mph,SB,9,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780784460440000,1772942400845000,1772949600845000,derq,"{""speedinterval"":""00-09 mph"",""approach"":""SB"",""count"":9}"
10-14 mph,EB,1,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780784460440000,1772942400845000,1772949600845000,derq,"{""speedinterval"":""10-14 mph"",""approach"":""EB"",""count"":1}"
10-14 mph,NB,8,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780784460440000,1772942400845000,1772949600845000,derq,"{""speedinterval"":""10-14 mph"",""approach"":""NB"",""count"":8}"
15-19 mph,NB,7,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780784460440000,1772942400845000,1772949600845000,derq,"{""speedinterval"":""15-19 mph"",""approach"":""NB"",""count"":7}"
00-09 mph,NB,11,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780784460440000,1772942400845000,1772949600845000,derq,"{""speedinterval"":""00-09 mph"",""approach"":""NB"",""count"":11}"
25-39 mph,NB,51,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780784460441000,1772942400845000,1772949600845000,derq,"{""speedinterval"":""25-39 mph"",""approach"":""NB"",""count"":51}"
20-24 mph,NB,12,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780784460440000,1772942400845000,1772949600845000,derq,"{""speedinterval"":""20-24 mph"",""approach"":""NB"",""count"":12}"
15-19 mph,SB,3,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780784460440000,1772942400845000,1772949600845000,derq,"{""speedinterval"":""15-19 mph"",""approach"":""SB"",""count"":3}"
25-39 mph,SB,51,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780784460441000,1772942400845000,1772949600845000,derq,"{""speedinterval"":""25-39 mph"",""approach"":""SB"",""count"":51}"
40+ mph,NB,6,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780784460441000,1772942400845000,1772949600845000,derq,"{""speedinterval"":""40+ mph"",""approach"":""NB"",""count"":6}"
40+ mph,SB,1,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780784460441000,1772942400845000,1772949600845000,derq,"{""speedinterval"":""40+ mph"",""approach"":""SB"",""count"":1}"
10-14 mph,SB,11,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780784460440000,1772942400845000,1772949600845000,derq,"{""speedinterval"":""10-14 mph"",""approach"":""SB"",""count"":11}"
20-24 mph,SB,8,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780784460440000,1772942400845000,1772949600845000,derq,"{""speedinterval"":""20-24 mph"",""approach"":""SB"",""count"":8}"
00-09 mph,SB,1,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780721459218000,1772438400845000,1772445600845000,derq,"{""speedinterval"":""00-09 mph"",""approach"":""SB"",""count"":1}"
00-09 mph,NB,1,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780721459218000,1772438400845000,1772445600845000,derq,"{""speedinterval"":""00-09 mph"",""approach"":""NB"",""count"":1}"
10-14 mph,EB,1,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780721459218000,1772438400845000,1772445600845000,derq,"{""speedinterval"":""10-14 mph"",""approach"":""EB"",""count"":1}"
10-14 mph,SB,1,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780721459218000,1772438400845000,1772445600845000,derq,"{""speedinterval"":""10-14 mph"",""approach"":""SB"",""count"":1}"
10-14 mph,NB,1,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780721459218000,1772438400845000,1772445600845000,derq,"{""speedinterval"":""10-14 mph"",""approach"":""NB"",""count"":1}"
20-24 mph,NB,2,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780721459218000,1772438400845000,1772445600845000,derq,"{""speedinterval"":""20-24 mph"",""approach"":""NB"",""count"":2}"
25-39 mph,SB,7,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780721459218000,1772438400845000,1772445600845000,derq,"{""speedinterval"":""25-39 mph"",""approach"":""SB"",""count"":7}"
25-39 mph,NB,43,alexandria,glebe-potomac-dqchytr8g,alexandria.speed-distribution,1780721459218000,1772438400845000,1772445600845000,derq,"{""speedinterval"":""25-39 mph"",""approach"":""NB"",""count"":43}"
