count,date,time_interval,approach,class,city,intersection,table,publish_timestamp,movement,data_provider,original_content,interval_start_timestamp,interval_end_timestamp
58,2026-03-01,11:30 AM - 11:44 AM,NB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337818000,TH,derq,,,
15,2026-03-01,11:30 AM - 11:44 AM,SB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,TH,derq,,,
5,2026-03-01,11:30 AM - 11:44 AM,SB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,RT,derq,,,
20,2026-03-01,11:30 AM - 11:44 AM,NB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,TH,derq,,,
1,2026-03-01,11:30 AM - 11:44 AM,SB,single_unit_truck,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,RT,derq,,,
2,2026-03-01,11:30 AM - 11:44 AM,EB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,LT,derq,,,
5,2026-03-01,11:45 AM - 11:59 AM,NB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,LT,derq,,,
8,2026-03-01,11:30 AM - 11:44 AM,EB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,RT,derq,,,
22,2026-03-01,11:45 AM - 11:59 AM,NB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,TH,derq,,,
2,2026-03-01,11:45 AM - 11:59 AM,NB,single_unit_truck,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,TH,derq,,,
70,2026-03-01,11:45 AM - 11:59 AM,NB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,TH,derq,,,
3,2026-03-01,11:30 AM - 11:44 AM,SB,bus,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,RT,derq,,,
34,2026-03-01,11:45 AM - 11:59 AM,SB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,TH,derq,,,
1,2026-03-01,11:45 AM - 11:59 AM,SB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,UT,derq,,,
1,2026-03-01,11:45 AM - 11:59 AM,SB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,RT,derq,,,
3,2026-03-01,11:45 AM - 11:59 AM,EB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,LT,derq,,,
3,2026-03-01,11:30 AM - 11:44 AM,EB,bus,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,LT,derq,,,
19,2026-03-01,11:45 AM - 11:59 AM,SB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,TH,derq,,,
3,2026-03-01,11:45 AM - 11:59 AM,SB,bus,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,RT,derq,,,
17,2026-03-01,11:30 AM - 11:44 AM,SB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337819000,TH,derq,,,
7,2026-03-01,12:00 PM - 12:14 PM,NB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337820000,LT,derq,,,
37,2026-03-01,12:15 PM - 12:29 PM,SB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337820000,TH,derq,,,
27,2026-03-01,12:15 PM - 12:29 PM,NB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337820000,TH,derq,,,
1,2026-03-01,12:15 PM - 12:29 PM,NB,bus,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337820000,TH,derq,,,
63,2026-03-01,12:15 PM - 12:29 PM,NB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337820000,TH,derq,,,
1,2026-03-01,12:00 PM - 12:14 PM,EB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337820000,RT,derq,,,
3,2026-03-01,12:00 PM - 12:14 PM,EB,bus,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337820000,LT,derq,,,
5,2026-03-01,12:00 PM - 12:14 PM,SB,bus,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337820000,RT,derq,,,
22,2026-03-01,12:00 PM - 12:14 PM,SB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337820000,TH,derq,,,
1,2026-03-01,12:00 PM - 12:14 PM,EB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337820000,LT,derq,,,
1,2026-03-01,12:00 PM - 12:14 PM,NB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337820000,TH,derq,,,
18,2026-03-01,12:00 PM - 12:14 PM,NB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337820000,TH,derq,,,
1,2026-03-01,12:15 PM - 12:29 PM,NB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337820000,TH,derq,,,
5,2026-03-01,12:15 PM - 12:29 PM,NB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337820000,LT,derq,,,
65,2026-03-01,12:00 PM - 12:14 PM,NB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337820000,TH,derq,,,
1,2026-03-01,11:45 AM - 11:59 AM,EB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337820000,RT,derq,,,
24,2026-03-01,12:00 PM - 12:14 PM,SB,passenger_vehicle,alexandria,glebe-potomac-dqchytr8g,alexandria.vehicle-count,1773727337820000,TH,derq,,,
