count,date,time_interval,approach,class,city,intersection,table,publish_timestamp,data_provider,original_content,interval_start_timestamp,interval_end_timestamp
5,2026-03-02,07:00 PM - 07:14 PM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139322000,derq,,,
1,2026-03-02,08:30 PM - 08:44 PM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139323000,derq,,,
1,2026-03-02,08:15 PM - 08:29 PM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139323000,derq,,,
2,2026-03-02,08:45 PM - 08:59 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139323000,derq,,,
4,2026-03-02,08:30 PM - 08:44 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139323000,derq,,,
3,2026-03-02,08:00 PM - 08:14 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139323000,derq,,,
2,2026-03-02,09:00 PM - 09:14 PM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139323000,derq,,,
1,2026-03-02,08:45 PM - 08:59 PM,NB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139323000,derq,,,
5,2026-03-02,07:15 PM - 07:29 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139323000,derq,,,
6,2026-03-02,07:30 PM - 07:44 PM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139323000,derq,,,
5,2026-03-02,08:00 PM - 08:14 PM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139323000,derq,,,
3,2026-03-02,07:45 PM - 07:59 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139323000,derq,,,
5,2026-03-02,07:30 PM - 07:44 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139323000,derq,,,
2,2026-03-02,07:15 PM - 07:29 PM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139323000,derq,,,
1,2026-03-02,07:45 PM - 07:59 PM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139323000,derq,,,
4,2026-03-02,07:00 PM - 07:14 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139323000,derq,,,
4,2026-03-02,09:30 PM - 09:44 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139324000,derq,,,
1,2026-03-02,09:30 PM - 09:44 PM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139324000,derq,,,
1,2026-03-02,09:00 PM - 09:14 PM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139324000,derq,,,
2,2026-03-02,09:45 PM - 09:59 PM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139324000,derq,,,
2,2026-03-02,09:45 PM - 09:59 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139324000,derq,,,
1,2026-03-02,09:30 PM - 09:44 PM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139324000,derq,,,
2,2026-03-02,09:00 PM - 09:14 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139324000,derq,,,
1,2026-03-02,11:00 PM - 11:14 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139324000,derq,,,
1,2026-03-02,10:00 PM - 10:14 PM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139324000,derq,,,
1,2026-03-02,10:15 PM - 10:29 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139324000,derq,,,
1,2026-03-02,10:30 PM - 10:44 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139324000,derq,,,
1,2026-03-02,10:45 PM - 10:59 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139324000,derq,,,
1,2026-03-02,10:15 PM - 10:29 PM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139324000,derq,,,
1,2026-03-02,10:15 PM - 10:29 PM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139324000,derq,,,
4,2026-03-02,10:00 PM - 10:14 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139324000,derq,,,
2,2026-03-02,10:00 PM - 10:14 PM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139324000,derq,,,
2,2026-03-02,09:45 PM - 09:59 PM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139324000,derq,,,
1,2026-03-02,11:45 PM - 11:59 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
1,2026-03-02,11:30 PM - 11:44 PM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
4,2026-03-03,05:45 AM - 05:59 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
1,2026-03-03,12:00 AM - 12:14 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
2,2026-03-02,11:30 PM - 11:44 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
1,2026-03-02,11:15 PM - 11:29 PM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
2,2026-03-02,11:15 PM - 11:29 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
2,2026-03-03,06:30 AM - 06:44 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
2,2026-03-03,06:30 AM - 06:44 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
12,2026-03-03,06:30 AM - 06:44 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
4,2026-03-03,06:15 AM - 06:29 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
3,2026-03-03,06:15 AM - 06:29 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
1,2026-03-03,05:00 AM - 05:14 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
2,2026-03-03,06:00 AM - 06:14 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
1,2026-03-03,05:30 AM - 05:44 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
3,2026-03-03,06:00 AM - 06:14 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
1,2026-03-03,05:15 AM - 05:29 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
4,2026-03-03,06:45 AM - 06:59 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
12,2026-03-03,06:45 AM - 06:59 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
